condition,views,selection,scenes,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,clean_psnr_mean,clean_ssim_mean,clean_lpips_mean,psnr_drop_from_clean,ssim_drop_from_clean,lpips_increase_from_clean
blur_k15,5,quality,4,11.10358610005254,0.30365498568451793,0.2668945918427198,0.12387583991256958,0.6374942068010568,0.06924561060742626,11.006584535952436,0.26842371133825504,0.6212188698351383,-0.09700156410010408,0.0015291194955352472,0.01627533696591854
blur_k15,5,quality_diverse,4,14.296357973124255,1.043891329780102,0.41247515846043825,0.07566116007876336,0.5834989938884974,0.0864629833367148,14.12370169037845,0.4142707789316773,0.5394933879375458,-0.17265628274580536,0.0017956204712390456,0.0440056059509516
blur_k15,5,random,4,14.025804352423169,1.3443323359673374,0.40716702297795565,0.10108579841261754,0.5730939911678433,0.092832584551133,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.3278505264806064,-0.008417641778942275,0.033824494853615716
blur_k15,5,uniform,4,13.214990550896857,1.8323981383152657,0.38223091331310566,0.09780571131249731,0.5886458318680525,0.10567220433550727,13.373411282921483,0.3917849658988416,0.5610867199953645,0.15842073202462537,0.00955405258573594,0.027559111872688002
clean,5,quality,4,11.006584535952436,0.318843736118443,0.26842371133825504,0.1302545726277915,0.6212188698351383,0.07655661952670846,11.006584535952436,0.26842371133825504,0.6212188698351383,0.0,0.0,0.0
clean,5,quality_diverse,4,14.12370169037845,1.1416866079326642,0.4142707789316773,0.10969824689168663,0.5394933879375458,0.09741695954379899,14.12370169037845,0.4142707789316773,0.5394933879375458,0.0,0.0,0.0
clean,5,random,4,13.697953825942562,1.2429083574988526,0.3987493811990134,0.1119665349847623,0.5392694963142276,0.09571005389977473,13.697953825942562,0.3987493811990134,0.5392694963142276,0.0,0.0,0.0
clean,5,uniform,4,13.373411282921483,1.1558123660216935,0.3917849658988416,0.11597504490452458,0.5610867199953645,0.1219925956330638,13.373411282921483,0.3917849658988416,0.5610867199953645,0.0,0.0,0.0
jpeg_q20,5,quality,4,10.576022507061246,0.13752005494171746,0.2329479112406261,0.10691899842391757,0.6390573710203171,0.06260258680769237,11.006584535952436,0.26842371133825504,0.6212188698351383,0.43056202889119,0.035475800097628934,0.017838501185178823
jpeg_q20,5,quality_diverse,4,13.685839020325965,0.7629312631981193,0.3814903960563242,0.09277291878313497,0.5670780964195729,0.08650221643302038,14.12370169037845,0.4142707789316773,0.5394933879375458,0.43786267005248547,0.03278038287535312,0.027584708482027098
jpeg_q20,5,random,4,13.765844534187519,1.3482975868321696,0.38915774410997983,0.1064569340582663,0.5496776340529322,0.08870977505837543,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.06789070824495624,0.009591637089033545,0.010408137738704637
jpeg_q20,5,uniform,4,13.187755067072858,1.150434327381257,0.37683503455482426,0.11647810105182432,0.5824381425976753,0.12325543574337303,13.373411282921483,0.3917849658988416,0.5610867199953645,0.18565621584862413,0.014949931344017342,0.02135142260231082
jpeg_q40,5,quality,4,11.1658266079088,0.8051930212688501,0.26782404236437285,0.14803202399770457,0.618494569323957,0.07900881873895726,11.006584535952436,0.26842371133825504,0.6212188698351383,-0.15924207195636342,0.0005996689738821948,-0.0027243005111813323
jpeg_q40,5,quality_diverse,4,14.168661856817934,1.0259987069943102,0.41315552145242684,0.11600090958476644,0.5489217270165682,0.09707185910803968,14.12370169037845,0.4142707789316773,0.5394933879375458,-0.044960166439484084,0.0011152574792504533,0.009428339079022408
jpeg_q40,5,random,4,13.589507980637327,1.2244500838514492,0.39298275648616254,0.10719025340849853,0.5473764114081859,0.09705939197826126,13.697953825942562,0.3987493811990134,0.5392694963142276,0.10844584530523527,0.005766624712850832,0.008106915093958333
jpeg_q40,5,uniform,4,13.244307396277435,1.1645343464680868,0.38795702101197094,0.10851370582773964,0.5647756636142731,0.11757539320665,13.373411282921483,0.3917849658988416,0.5610867199953645,0.1291038866440477,0.00382794488687066,0.003688943618908591
lowres_50,5,quality,4,10.886672134313976,0.28873887739517495,0.273823947875644,0.14993636274844616,0.6178770031780004,0.0738867977706044,11.006584535952436,0.26842371133825504,0.6212188698351383,0.11991240163846051,-0.005400236537388969,-0.003341866657137871
lowres_50,5,quality_diverse,4,14.018110827189979,0.6823167699067354,0.40328714186325665,0.09900897268873378,0.5551174331456423,0.09098962770629306,14.12370169037845,0.4142707789316773,0.5394933879375458,0.10559086318847122,0.010983637068420649,0.01562404520809657
lowres_50,5,random,4,14.026300094836117,1.425122177340366,0.4113172249868512,0.11480338377655265,0.5384724514558912,0.09616522215534062,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.32834626889355434,-0.012567843787837818,-0.0007970448583364265
lowres_50,5,uniform,4,13.217106607175715,1.442382336404841,0.38918779296800493,0.10383141230057015,0.5665691709611564,0.12104227001432791,13.373411282921483,0.3917849658988416,0.5610867199953645,0.15630467574576734,0.0025971729308366664,0.0054824509657919185
over_1.4,5,quality,4,9.669351686611357,0.5708171573571498,0.2489519814131199,0.09893625520977387,0.6479778904467821,0.0655714393957608,11.006584535952436,0.26842371133825504,0.6212188698351383,1.3372328493410794,0.019471729925135156,0.026759020611643813
over_1.4,5,quality_diverse,4,11.450335865871425,0.706529982052126,0.3765744965523481,0.099790738244732,0.5897739239037038,0.09003722095107551,14.12370169037845,0.4142707789316773,0.5394933879375458,2.673365824507025,0.037696282379329205,0.050280535966158
over_1.4,5,random,4,11.022498729336824,1.427754999615991,0.37366799063747747,0.12335913277975352,0.5724526029080153,0.08536351985367287,13.697953825942562,0.3987493811990134,0.5392694963142276,2.675455096605738,0.02508139056153591,0.03318310659378765
over_1.4,5,uniform,4,10.8939418315295,0.439769240538011,0.3564806872513145,0.09884369624730578,0.5945489197969437,0.11220794660453634,13.373411282921483,0.3917849658988416,0.5610867199953645,2.4794694513919833,0.03530427864752711,0.03346219980157916
under_0.4,5,quality,4,7.91708645771025,1.441052585115729,0.1823298045110277,0.06466027998674294,0.6584471266716718,0.051668255571117205,11.006584535952436,0.26842371133825504,0.6212188698351383,3.089498078242186,0.08609390682722734,0.037228256836533524
under_0.4,5,quality_diverse,4,8.78085449488745,1.6190921622851138,0.2621433320920914,0.06334424723915552,0.6050908498466014,0.06818703376290403,14.12370169037845,0.4142707789316773,0.5394933879375458,5.342847195491,0.1521274468395859,0.06559746190905569
under_0.4,5,random,4,8.903187301310734,1.6742033987205096,0.27637667993549253,0.07098000952882928,0.5932010104879737,0.07367113180371246,13.697953825942562,0.3987493811990134,0.5392694963142276,4.794766524631829,0.12237270126352084,0.05393151417374609
under_0.4,5,uniform,4,8.71631902735113,1.7480786596705593,0.25346405189484356,0.017595377673924623,0.6205128636211157,0.11051568566112993,13.373411282921483,0.3917849658988416,0.5610867199953645,4.657092255570353,0.13832091400399804,0.05942614362575116
under_0.6,5,quality,4,8.934351968575765,1.064531352341141,0.22275325082591732,0.09159399432192392,0.6451473230496049,0.06268737624257717,11.006584535952436,0.26842371133825504,0.6212188698351383,2.0722325673766715,0.045670460512337724,0.023928453214466572
under_0.6,5,quality_diverse,4,10.753253699190347,1.145592274109916,0.34466443266719576,0.09623463164585551,0.574557326361537,0.06997851828984372,14.12370169037845,0.4142707789316773,0.5394933879375458,3.3704479911881027,0.06960634626448153,0.03506393842399125
under_0.6,5,random,4,10.803885814108849,1.4872883089466018,0.3604691166896373,0.08422893445610506,0.5720114184543491,0.08573600829568377,13.697953825942562,0.3987493811990134,0.5392694963142276,2.8940680118337134,0.03828026450937605,0.032741922140121504
under_0.6,5,uniform,4,10.279313031424756,1.7644608438109732,0.303623994346708,0.052486709480431167,0.5990423508919775,0.12224088187462964,13.373411282921483,0.3917849658988416,0.5610867199953645,3.0940982514967263,0.0881609715521336,0.037955630896613024
